hq,pricePerUnit,quantity,buyerName,onMannequin,timestamp,worldName,worldID
True,3393,99,Drewish Deity,False,1686779274,Adamantoise,73
True,3298,99,Anastasia Leonore,False,1686779238,Gilgamesh,63
True,3982,99,Stellan Nightsky,False,1686778825,Faerie,54
True,3877,99,Stellan Nightsky,False,1686778803,Faerie,54
True,3690,30,Reinette Pecunire,False,1686778739,Cactuar,79
True,3690,30,Reinette Pecunire,False,1686778738,Cactuar,79
True,3690,30,Reinette Pecunire,False,1686778736,Cactuar,79
True,3249,50,Draco Ryuu,False,1686777343,Sargatanas,99
True,3249,50,Draco Ryuu,False,1686777342,Sargatanas,99
True,3200,99,Draco Ryuu,False,1686777340,Sargatanas,99
True,3200,99,Draco Ryuu,False,1686777339,Sargatanas,99
True,3999,30,Broomder Gibsonshot,False,1686777291,Midgardsormr,65
True,4792,50,Tax Evasion',False,1686776835,Siren,57
True,3689,30,Zandy Kins,False,1686776795,Cactuar,79
True,3297,60,Masha Hagane,False,1686774915,Gilgamesh,63
True,3699,10,Ciaran Swiftgale,False,1686774029,Cactuar,79
True,3691,99,Ciaran Swiftgale,False,1686774023,Cactuar,79
True,3691,99,Ciaran Swiftgale,False,1686774022,Cactuar,79
True,3691,99,Ciaran Swiftgale,False,1686774020,Cactuar,79
True,3691,99,Ciaran Swiftgale,False,1686774019,Cactuar,79
True,3691,99,Ciaran Swiftgale,False,1686774017,Cactuar,79
True,3691,99,Ciaran Swiftgale,False,1686774016,Cactuar,79
True,3691,99,Ciaran Swiftgale,False,1686774015,Cactuar,79
True,3690,99,Ciaran Swiftgale,False,1686774014,Cactuar,79
True,4871,18,Winona Cassidy,False,1686773998,Siren,57
True,3574,45,Rhaz Berry,False,1686773635,Jenova,40
True,3571,23,Rhaz Berry,False,1686773633,Jenova,40
True,3689,30,Meow D'storm,False,1686773605,Cactuar,79
True,3689,30,Meow D'storm,False,1686773603,Cactuar,79
True,3298,25,Holy Bringer,False,1686772946,Gilgamesh,63
True,3297,78,Kitsu K'ten,False,1686772932,Gilgamesh,63
True,3297,99,Kitsu K'ten,False,1686772931,Gilgamesh,63
True,3296,10,Kitsu K'ten,False,1686772930,Gilgamesh,63
True,3296,25,Kitsu K'ten,False,1686772929,Gilgamesh,63
True,3296,25,Kitsu K'ten,False,1686772928,Gilgamesh,63
True,3296,25,Kitsu K'ten,False,1686772927,Gilgamesh,63
True,3395,17,Watarmelan Piza,False,1686772926,Adamantoise,73
True,3296,25,Kitsu K'ten,False,1686772926,Gilgamesh,63
True,3296,25,Kitsu K'ten,False,1686772925,Gilgamesh,63
True,3296,99,Fuji Fushigi,False,1686772303,Gilgamesh,63
True,4720,43,Dharokrya Mahr'kaen,False,1686771806,Siren,57
True,3298,50,Anya Bladedancer,False,1686771603,Sargatanas,99
True,3298,50,Anya Bladedancer,False,1686771601,Sargatanas,99
True,3579,99,Daenne Foixewesfv,False,1686771123,Jenova,40
True,3989,66,Pine Gaming,False,1686771115,Faerie,54
True,3296,99,Arthur West,False,1686770658,Gilgamesh,63
True,3395,33,Mavis Grey,False,1686769364,Adamantoise,73
True,3993,99,Robin Violet,False,1686768737,Faerie,54
